ID,GC_Content,GC3_Content,Bad_Seq
lcl|NC_000913.3_cds_NP_414620.1_80,50,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414622.1_81,55,57,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414623.1_82,52,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414624.1_83,55,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414625.1_84,50,54,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414626.1_85,54,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414627.1_86,57,58,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414628.1_87,55,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414629.1_88,53,64,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414630.1_89,55,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414631.1_90,53,63,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414632.1_91,56,53,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414633.1_92,55,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414634.1_93,52,51,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414635.1_94,53,60,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414636.1_95,52,53,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414637.1_96,54,54,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414638.1_97,51,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414639.2_98,54,53,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414640.1_99,52,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414641.1_100,49,49,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414643.1_101,52,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414644.1_102,51,55,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414645.1_103,53,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518737.1_104,31,33,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414646.1_105,51,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414648.1_106,52,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414649.1_107,53,53,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414650.1_108,53,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414651.1_109,53,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414652.1_110,54,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414653.1_111,52,55,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414654.1_112,53,63,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414655.1_113,56,62,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414656.1_114,53,60,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414657.1_115,55,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414658.1_116,53,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414659.1_117,54,53,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414660.1_118,56,61,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414661.2_119,52,60,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414662.1_120,46,55,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414663.1_121,51,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414664.4_122,50,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414665.1_123,55,62,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414666.1_124,55,60,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414667.4_125,51,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414668.1_126,51,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414669.1_127,50,55,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414670.1_128,51,63,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414671.1_129,49,51,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414672.1_130,50,54,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414673.1_131,52,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414674.1_132,49,54,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414675.1_133,53,58,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414676.1_134,55,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414677.1_135,40,35,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414678.1_136,41,34,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414679.1_137,43,35,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414680.4_138,43,41,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414681.1_139,43,39,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414682.1_140,44,41,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414683.1_141,45,41,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414684.1_142,50,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414685.4_143,56,62,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414686.3_144,54,53,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414687.1_145,53,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414688.1_146,49,50,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414689.4_147,56,55,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414690.4_148,57,58,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414691.1_149,55,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_010051172.1_150,55,62,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414692.1_151,51,53,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414693.1_152,57,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414694.1_153,55,60,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414695.1_154,60,70,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414696.1_155,56,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_010051173.1_156,38,38,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414697.1_157,54,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518738.1_158,39,41,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414698.1_159,51,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414699.1_160,54,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414700.1_161,53,54,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414701.1_162,52,54,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414702.1_163,48,48,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414703.1_164,54,63,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414704.4_165,53,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414705.1_166,44,50,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414706.2_167,51,54,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414708.1_168,53,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414709.1_169,54,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414710.1_170,50,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414711.1_171,51,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414712.1_172,50,50,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414713.1_173,53,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414714.1_174,51,49,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414715.1_175,53,55,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414716.1_176,50,47,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414717.2_177,51,56,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414718.1_178,51,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414719.1_179,51,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414720.1_180,50,53,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414721.1_181,53,60,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414722.1_182,50,50,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414723.1_183,53,56,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414724.1_184,54,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414725.1_185,57,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414726.1_186,55,63,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414727.1_187,52,50,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414728.1_188,51,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414729.4_189,51,54,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414730.1_190,58,60,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414731.2_191,48,53,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_026160.1_192,51,54,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414732.1_193,52,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414733.1_194,54,55,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414734.1_195,52,54,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414735.4_196,49,51,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414736.1_197,55,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414737.1_198,55,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414738.1_199,53,51,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414739.1_200,49,53,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414740.1_201,52,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414741.1_202,53,60,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414742.1_203,50,51,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414743.1_204,46,43,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414744.1_205,50,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414745.1_206,53,54,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414746.1_207,49,49,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414747.1_208,52,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414748.1_209,40,35,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_010283908.1_210,39,55,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414749.2_211,49,49,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414750.1_212,50,51,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414751.1_213,50,53,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414752.1_214,43,44,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_001165307.1_215,31,29,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414754.1_216,55,58,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414755.1_217,50,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414756.2_218,57,67,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414757.1_219,51,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414758.1_220,54,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414759.1_221,48,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414760.1_222,39,35,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414761.1_223,47,47,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414762.1_224,52,63,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414763.1_225,45,46,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414766.1_226,54,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414767.1_227,42,37,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414768.1_228,44,40,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414769.1_229,43,42,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414772.1_230,51,56,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414773.1_231,52,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414774.1_232,54,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_b0240_233,50,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518739.1_234,55,66,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518740.1_235,53,54,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414776.1_236,45,47,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414777.1_237,56,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414778.1_238,54,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414779.1_239,51,54,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414780.1_240,57,71,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_588435.1_241,56,70,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414781.1_242,58,68,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414782.1_243,56,63,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414783.1_244,59,64,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414784.1_245,53,66,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414785.4_246,51,61,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414786.4_247,58,63,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414787.4_248,57,64,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414788.1_249,48,45,"Good_start,Good_stop"
lcl|NC_000913.3_cds_b4587_250,52,56,"Good_start,Not_stop"
lcl|NC_000913.3_cds_NP_414790.1_251,46,41,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518741.1_252,55,62,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414793.2_253,55,71,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414794.4_254,55,62,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414795.1_255,60,66,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414796.2_256,56,70,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414798.1_257,55,67,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414799.1_258,53,55,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_YP_009518742.1_259,51,51,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414801.1_260,62,76,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414802.2_261,62,80,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414803.1_262,67,86,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414804.1_263,62,89,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414805.1_264,64,88,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414806.1_265,63,83,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414807.1_266,59,77,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_010051174.1_267,30,31,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518743.1_268,43,42,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414808.1_269,55,67,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414809.1_270,53,55,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_YP_009518744.1_271,49,49,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414811.1_272,45,49,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414812.1_273,37,36,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414813.1_274,36,34,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518745.1_275,41,36,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414814.1_276,44,36,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414815.1_277,44,39,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518746.1_278,53,53,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414817.1_279,60,66,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414818.1_280,59,66,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414819.1_281,61,65,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414820.1_282,55,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414821.1_283,45,39,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414822.1_284,50,49,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414823.2_285,53,57,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414824.1_286,52,62,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414825.1_287,55,63,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414826.1_288,55,64,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414827.1_289,53,58,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414828.1_290,39,44,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414829.1_291,44,45,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_588437.1_292,42,32,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414830.1_293,46,47,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_002791238.1_294,28,32,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414832.2_295,50,48,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414833.1_296,55,62,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414835.2_297,45,43,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414837.2_298,35,28,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414838.2_299,46,42,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414839.1_300,51,51,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414840.1_301,51,53,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414841.1_302,50,49,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414842.4_303,52,52,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414844.1_304,37,37,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414845.1_305,57,65,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414846.1_306,58,69,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414847.3_307,57,64,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414848.1_308,55,71,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518747.1_309,24,24,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414849.1_310,46,50,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414850.1_311,49,56,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414851.1_312,53,55,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414852.1_313,45,41,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414853.1_314,47,46,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414854.1_315,56,66,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414855.1_316,58,72,"Good_start,Good_stop"
lcl|NC_000913.3_cds_YP_009518748.2_317,58,56,"Not_ATG,Good_stop"
lcl|NC_000913.3_cds_NP_414857.1_318,56,62,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414858.1_319,56,67,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414859.1_320,53,54,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414860.1_321,39,39,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414861.2_322,47,50,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414862.1_323,49,49,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414863.1_324,39,41,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414864.1_325,55,59,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414865.1_326,56,63,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414867.1_327,56,65,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414868.1_328,57,69,"Good_start,Good_stop"
lcl|NC_000913.3_cds_NP_414869.1_329,58,68,"Good_start,Good_stop"
